target,model,season,n_games,accuracy,log_loss,mae,ats_pct
h1_win,lightgbm_coherent,2017,267,0.5643153526970954,0.9659047531281955,,
h1_win,lightgbm_coherent,2018,267,0.6516393442622951,0.7903954244317077,,
h1_win,lightgbm_coherent,2019,267,0.6048387096774194,0.8591232371624227,,
h1_win,lightgbm_coherent,2020,269,0.6456692913385826,0.770678269688653,,
h1_win,lightgbm_coherent,2021,285,0.5735849056603773,0.8190273848952544,,
h1_win,lightgbm_coherent,2022,284,0.5731225296442688,0.8107888701586278,,
h1_win,lightgbm_coherent,2023,285,0.6490566037735849,0.7327521189873015,,
h1_win,lightgbm_coherent,2024,285,0.6145454545454545,0.7561903547129624,,
h1_win,lightgbm_coherent,2025,285,0.5823754789272031,0.7594442060165377,,
h1_win,lightgbm_coherent,2026,24,0.4782608695652174,0.7956108331231198,,
h1_win,lightgbm_plus_vegas,2017,267,0.5809128630705395,0.6875663718435736,,
h1_win,lightgbm_plus_vegas,2018,267,0.6024590163934426,0.6718253570066847,,
h1_win,lightgbm_plus_vegas,2019,267,0.6209677419354839,0.6942119509884082,,
h1_win,lightgbm_plus_vegas,2020,269,0.6535433070866141,0.6391019915967884,,
h1_win,lightgbm_plus_vegas,2021,285,0.5849056603773585,0.6943012063048793,,
h1_win,lightgbm_plus_vegas,2022,284,0.5968379446640316,0.6883420867927507,,
h1_win,lightgbm_plus_vegas,2023,285,0.6452830188679245,0.6636858409292348,,
h1_win,lightgbm_plus_vegas,2024,285,0.5890909090909091,0.6669352140737224,,
h1_win,lightgbm_plus_vegas,2025,285,0.5747126436781609,0.6666241591391814,,
h1_win,lightgbm_plus_vegas,2026,24,0.6086956521739131,0.6243114534116054,,
h1_win,linear,2017,267,0.6182572614107884,0.6901292184910939,,
h1_win,linear,2018,267,0.6229508196721312,0.6471149624522105,,
h1_win,linear,2019,267,0.592741935483871,0.7013567879971727,,
h1_win,linear,2020,269,0.6259842519685039,0.6662710990815138,,
h1_win,linear,2021,285,0.5622641509433962,0.678988480716556,,
h1_win,linear,2022,284,0.5889328063241107,0.680277668861806,,
h1_win,linear,2023,285,0.6037735849056604,0.653290757910942,,
h1_win,linear,2024,285,0.5963636363636363,0.6603588633049091,,
h1_win,linear,2025,285,0.5823754789272031,0.6779004901149713,,
h1_win,linear,2026,24,0.5217391304347826,0.6902111392627324,,
h1_win,linear_coherent,2017,267,0.6141078838174274,0.6784590684981617,,
h1_win,linear_coherent,2018,267,0.639344262295082,0.6508601287688975,,
h1_win,linear_coherent,2019,267,0.5967741935483871,0.6925864850461471,,
h1_win,linear_coherent,2020,269,0.6023622047244095,0.6659397546350391,,
h1_win,linear_coherent,2021,285,0.5735849056603773,0.6831528666118284,,
h1_win,linear_coherent,2022,284,0.6126482213438735,0.6746516582132002,,
h1_win,linear_coherent,2023,285,0.6113207547169811,0.655509395980281,,
h1_win,linear_coherent,2024,285,0.6181818181818182,0.6604172311976971,,
h1_win,linear_coherent,2025,285,0.5823754789272031,0.6700804881020906,,
h1_win,linear_coherent,2026,24,0.4782608695652174,0.7061071072906693,,
h1_win,linear_plus_vegas,2017,267,0.6141078838174274,0.6896163996147101,,
h1_win,linear_plus_vegas,2018,267,0.6557377049180327,0.6406976559460253,,
h1_win,linear_plus_vegas,2019,267,0.6169354838709677,0.6983499320471667,,
h1_win,linear_plus_vegas,2020,269,0.6338582677165354,0.6581458522729793,,
h1_win,linear_plus_vegas,2021,285,0.5735849056603773,0.6773605468502326,,
h1_win,linear_plus_vegas,2022,284,0.5849802371541502,0.6757586891770159,,
h1_win,linear_plus_vegas,2023,285,0.6113207547169811,0.6446395932426123,,
h1_win,linear_plus_vegas,2024,285,0.6218181818181818,0.6535489570773592,,
h1_win,linear_plus_vegas,2025,285,0.6168582375478927,0.6669984019788796,,
h1_win,linear_plus_vegas,2026,24,0.6086956521739131,0.6450867071367893,,
h1_win,vegas,2017,267,0.6224066390041494,0.6441386945393816,,
h1_win,vegas,2018,267,0.6352459016393442,0.6285082937758923,,
h1_win,vegas,2019,267,0.5846774193548387,0.6668112411013525,,
h1_win,vegas,2020,269,0.6259842519685039,0.648603189064169,,
h1_win,vegas,2021,285,0.6037735849056604,0.6606882346756926,,
