strategy,n,hit,roi,p,roi_early,roi_late,bh_threshold,survives_fdr
linear_qb | line<=3 | ML dogs | edge>=0.10,264,0.5037878787878788,0.14654195792362792,0.03844608724663749,0.25786917642428003,0.03853793997523411,0.004876120189773327,False
linear_qb | total<=44 | ML dogs | edge>=0.00,209,0.48325358851674644,0.1463684605790717,0.08175664448758492,0.23947317805873758,0.06095128857937829,0.008355297838692674,False
ensemble | wk1-6 | ML dogs | edge>=0.00,140,0.4857142857142857,0.14519899667322672,0.15701422549833707,0.41565201944740815,-0.1330932441523803,0.012546125461254613,False
linear | line<=3 | ML dogs | edge>=0.05,301,0.5049833887043189,0.14205794830287788,0.031009796792401255,0.31335283802719555,-0.019290786534221383,0.004111755403268319,False
ensemble | wk1-6 | ML dogs | edge>=0.05,137,0.48175182481751827,0.1406292206465845,0.17666395909880084,0.397820827175309,-0.12034461538991531,0.013732208750658937,False
neural_qbfeat | total<=44 | ATS home | edge>=3pt,230,0.5956521739130435,0.1371541501976285,0.027726463784456572,0.058823529411764754,0.22113022113022124,0.0037691091196626254,False
linear | line<=3 | ML dogs | edge>=0.00,306,0.5032679738562091,0.13629637889233315,0.036585512717069196,0.29133587309203546,-0.012780057838149764,0.004744333157617291,False
linear_qb | wk14+ | ML dogs | edge>=0.10,100,0.46,0.12895895312731226,0.3053528815915434,0.029235463419781196,0.2558797582096245,0.019267264101212444,False
linear | wk7-13 | ML dogs | edge>=0.10,130,0.46153846153846156,0.12546746138704,0.2512246392505674,0.14543291419659432,0.09824184391946598,0.017079599367422246,False
ensemble | total<=44 | ML dogs | edge>=0.10,167,0.46706586826347307,0.12450706151776288,0.19231363977043306,0.21099982206893741,0.053996658894522785,0.014391143911439114,False
linear | line<=3 | ATS dogs | edge>=3pt,248,0.5887096774193549,0.12390029325513202,0.039222832362256224,0.25133689839572204,0.00634249471458778,0.004928835002635741,False
neural_qbfeat | total>=48 | ML dogs | edge>=0.10,99,0.46464646464646464,0.11966499322146992,0.33305504042551415,0.15750020738523723,0.01877108878475717,0.020374275171323144,False
linear_qb | wk14+ | ML dogs | edge>=0.05,112,0.4642857142857143,0.11848855768917696,0.3102344502446568,0.0479819892293128,0.2028199434941125,0.01945176594623089,False
linear | line<=3 | ATS away | edge>=3pt,164,0.5853658536585366,0.11751662971175171,0.11260036089869346,0.18787878787878792,0.03194103194103198,0.009989457037427518,False
lean | wk1-6 | ML dogs | edge>=0.10,124,0.46774193548387094,0.11718305650360485,0.28559322209056426,0.41943531984146953,-0.13995692872413076,0.01845018450184502,False
neural_qbfeat | total>=48 | ML dogs | edge>=0.00,111,0.46846846846846846,0.1157930942108327,0.31547187772579993,0.16216701667994557,0.001307473115210206,0.01976805482340538,False
neural_qbfeat | all games | ML dogs | edge>=0.00,447,0.4608501118568233,0.11558791215740272,0.04775695272775539,0.2203342516781913,-0.018551532841158132,0.00558777016341592,False
neural_qbfeat | all games | ML dogs | edge>=0.10,401,0.4538653366583541,0.11439252866686107,0.067006045145555,0.20491903928603752,-0.0025159936184754044,0.007248286768581972,False
neural_qbfeat | all games | ML dogs | edge>=0.05,444,0.4594594594594595,0.1138703061736324,0.05220198651014082,0.2185262757175798,-0.018551532841158132,0.005904059040590406,False
linear_qb | total<=44 | ATS dogs | edge>=3pt,299,0.5819397993311036,0.11097598054119798,0.042789013405533635,0.13352272727272732,0.08502289077828651,0.005192409066947813,False
linear_qb | wk14+ | ML dogs | edge>=0.00,113,0.46017699115044247,0.1085904288600692,0.3496733877484421,0.031079053919162596,0.2028199434941125,0.021375856615709014,False
neural_qbfeat | total>=48 | ML dogs | edge>=0.05,110,0.4636363636363636,0.10757181517621918,0.3540544829330809,0.151167442688428,0.001307473115210206,0.021481286241433844,False
linear_qb | line<=3 | ML dogs | edge>=0.00,325,0.49230769230769234,0.10694129299214694,0.08914460468949668,0.22353131351307257,-0.013292165670057638,0.008697944122298367,False
neural_qbfeat | total>=48 | ATS away | edge>=3pt,126,0.5793650793650794,0.10606060606060612,0.21066038842940668,0.11542390194075593,0.08353808353808359,0.015102793885081709,False
linear_qb | line<=3 | ML dogs | edge>=0.05,318,0.49056603773584906,0.10603641934687826,0.0962701983680476,0.2317895434539971,-0.019716704760240563,0.00911966262519768,False
lean | line>7 | ATS home | edge>=3pt,76,0.5789473684210527,0.10526315789473689,0.33657877521602503,0.056092843326885924,0.18495297805642638,0.020532419609910386,False
neural_qbfeat | line>7 | OU under | edge>=3.0pt,114,0.5789473684210527,0.10526315789473688,0.2376627382044226,0.13636363636363644,0.018181818181818226,0.016447021613073275,False
lean_qb | wk1-6 | ML dogs | edge>=0.00,128,0.4765625,0.10516906998785394,0.31522154207842734,0.504505179767377,-0.23629224127289772,0.019715340010542964,False
linear_qb | wk1-6 | ML dogs | edge>=0.00,190,0.46842105263157896,0.10077385471837104,0.2452636686694298,0.2027029756931459,-0.030628747020194157,0.01686874011597259,False
linear_qb | wk1-6 | ML dogs | edge>=0.05,190,0.46842105263157896,0.10077385471837104,0.2452636686694298,0.2027029756931459,-0.030628747020194157,0.016842382709541383,False
linear | total<=44 | ATS dogs | edge>=3pt,340,0.5764705882352941,0.10053475935828883,0.05054856665826128,0.06993006993006999,0.1357882623705409,0.005798629414865577,False
ensemble | all games | ML dogs | edge>=0.10,293,0.45733788395904434,0.0997379140980574,0.1627551465182531,0.17334875356108487,0.01591827208176333,0.012994201370585136,False
lean_qb | wk1-6 | ML dogs | edge>=0.05,125,0.472,0.09945529978119066,0.34966131748160567,0.5131442342942638,-0.23629224127289772,0.021349499209277808,False
linear | wk7-13 | ML dogs | edge>=0.05,149,0.4563758389261745,0.09825047899923398,0.32834877553984676,0.14699591710207538,0.035256374374023514,0.020295202952029523,False
lean_qb | line>7 | ATS home | edge>=3pt,80,0.575,0.09772727272727276,0.36016832594587955,0.056092843326885924,0.1570247933884298,0.021823932525039537,False
linear | all games | ML dogs | edge>=0.10,410,0.45121951219512196,0.09614109225350848,0.11486961968895947,0.1438994963486923,0.03389418354517901,0.010173958882445967,False
ensemble | wk7-13 | OU under | edge>=3.0pt,150,0.5733333333333334,0.0945454545454546,0.22354394823434157,0.11209179170344227,0.056092843326885924,0.0158144438587243,False
elo | total<=44 | ML dogs | edge>=0.05,210,0.45714285714285713,0.0938677606166345,0.2671047672915026,0.19752392050824602,-0.007832622673248512,0.017712177121771217,False
neural_qbfeat | line<=3 | ML dogs | edge>=0.00,317,0.48264984227129337,0.0936206946532048,0.144235233131982,0.2005158864228395,-0.015317080398652197,0.011781760674749606,False
linear_qb | all games | ML dogs | edge>=0.10,392,0.45408163265306123,0.09338030985443348,0.1302779917444505,0.12866452637325526,0.04871416293176314,0.010964681075382184,False
lean_qb | line>7 | OU under | edge>=1.5pt,117,0.5726495726495726,0.09324009324009327,0.2898403689214128,0.07095343680709537,0.1454545454545455,0.018608328940432264,False
linear | line<=3 | ML any | edge>=0.10,404,0.5371287128712872,0.09310728385118892,0.07389255829968368,0.17528316770729166,-0.008137037142793985,0.007801792303637323,False
neural_qbfeat | line<=3 | ML dogs | edge>=0.05,314,0.48089171974522293,0.09098210003757866,0.15825110767057582,0.1972812804738095,-0.015317080398652197,0.012625197680548234,False
linear | wk7-13 | ML dogs | edge>=0.00,150,0.4533333333333333,0.09092880913923908,0.3636343632808997,0.13350184748910982,0.035256374374023514,0.02208750658935161,False
lean | wk7-13 | ATS away | edge>=3pt,98,0.5714285714285714,0.09090909090909095,0.3456338000663656,0.2613636363636364,-0.13636363636363633,0.02113863995782815,False
linear_qb | line<=3 | ATS dogs | edge>=3pt,247,0.5708502024291497,0.08980493191019512,0.1373345826452846,0.21786833855799378,-0.02359472588480218,0.01146547179757512,False
elo | total<=44 | ML dogs | edge>=0.00,213,0.45539906103286387,0.08831354347089614,0.292101960972113,0.18611893078911987,-0.0067750275329325265,0.018687401159725885,False
neural_qbfeat | line<=3 | ML dogs | edge>=0.10,271,0.47601476014760147,0.08812312718124798,0.20749813875006326,0.17103961137090962,0.005816323022392675,0.014944649446494465,False
